address_or_intersection,asset_name,asset_status,asset_type,availability_confidence,availability_status,caveat,confidence_level,exact_impressions_confirmed,exact_price_confirmed,family_anchor_proximity,hgl_relevance_score,impressions_status,last_observed_date,media_format,ooh_asset_id,operator_if_known,preschool_school_proximity,pricing_status,recommended_use,retrieval_date,source_name,source_url,static_or_digital,transit_proximity,vendor_owner,verification_needed,zipcode,longitude,latitude
226 EAST 14 STREET,mn-03-123803,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0118,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.986107,40.732747
9th Ave & W 18th St,9th Ave & W 18th St,Network bookable,LinkNYC,Medium-High network confidence; unit/date unconfirmed,Network bookable; exact screen/date requires confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium-High,False,False,To be evaluated by local context,7.6,Vendor/platform confirmation required,,Digital kiosk screen network,OOH-V4-0119,Intersection / CityBridge,To be evaluated by local context,Quote or self-service portal required,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,2026-06-11,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,Digital,Street-level kiosk; verify locally,LinkNYC / Intersection,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",10011,-74.00372466,40.74341383
160 2 AVENUE,mn-03-123268,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0120,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.986658,40.729831
45 3 AVENUE,mn-03-133491,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0121,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989008,40.730578
66 3 AVENUE,mn-03-137104,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0122,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.988579,40.73157
91 3 AVENUE,mn-03-123816,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0123,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.987938,40.732039
Hudson St & Dominick St,Hudson St & Dominick St,Network bookable,LinkNYC,Medium-High network confidence; unit/date unconfirmed,Network bookable; exact screen/date requires confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium-High,False,False,To be evaluated by local context,9.1,Vendor/platform confirmation required,,Digital kiosk screen network,OOH-V4-0124,Intersection / CityBridge,To be evaluated by local context,Quote or self-service portal required,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,2026-06-11,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,Digital,Street-level kiosk; verify locally,LinkNYC / Intersection,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",10013,-74.00755377,40.72533498
325 HUDSON STREET,mn-02-135935,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0125,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.007487,40.726889
14 EAST 23 STREET,mn-05-123292,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0126,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.988136,40.740836
245 7 AVENUE,mn-04-123359,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0127,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.994986,40.744815
223 EAST 14 STREET,mn-06-123287,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0128,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.986173,40.73296
727 6 AVENUE,mn-04-122766,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0129,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.992508,40.74351
201 HUDSON STREET,mn-01-138618,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0130,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.008084,40.723404
127 8 AVENUE,mn-04-135620,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0131,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.001501,40.741373
142 8 AVENUE,mn-04-136455,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0132,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.001088,40.74151
158 8 AVENUE,mn-04-135231,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0133,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.000711,40.742046
416 2 AVENUE,mn-06-138795,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0134,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.980396,40.738384
123 7 AVENUE,mn-04-134727,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0135,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.997999,40.740686
159 8 AVENUE,mn-04-108537,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0136,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.00094,40.742297
176 8 AVENUE,mn-04-135037,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0137,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.000238,40.742689
211 8 AVENUE,mn-04-134912,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0138,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.999645,40.743919
221 8 AVENUE,mn-04-107977,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0139,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.999398,40.74426
129 9 AVENUE,mn-04-135516,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0140,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.003588,40.7436
2nd Ave & E 25th St,2nd Ave & E 25th St,Network bookable,LinkNYC,Medium-High network confidence; unit/date unconfirmed,Network bookable; exact screen/date requires confirmation,"Availability, pricing, and exact unit selection must be confirmed with the vendor before purchase.",Medium-High,False,False,To be evaluated by local context,8.2,Vendor/platform confirmation required,,Digital kiosk screen network,OOH-V4-0141,Intersection / CityBridge,To be evaluated by local context,Quote or self-service portal required,Parent/caregiver awareness for multilingual preschool-style early education; exact screen/date must be confirmed.,2026-06-11,LinkNYC KML,https://www.link.nyc/map/LinkNYC.kml,Digital,Street-level kiosk; verify locally,LinkNYC / Intersection,"Confirm screen, date, pricing, dayparting and creative specs with LinkNYC / Intersection.",10010,-73.97998543,40.73934123
183 CANAL STREET,mn-02-133430,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0142,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.997578,40.716869
655 6 AVENUE,mn-04-135464,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0143,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.993963,40.741515
699 6 AVENUE,mn-04-134489,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0144,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.993209,40.742548
344 EAST 14 STREET,mn-03-123800,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0145,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.983246,40.731539
237 1 AVENUE,mn-03-123802,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0146,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.982827,40.731219
205 3 AVENUE,mn-06-133527,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0147,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.9849,40.736214
242 EAST 10 STREET,mn-03-139455,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0148,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.98468,40.728824
133 1 AVENUE,mn-03-108516,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0149,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.985325,40.727794
145 1 AVENUE,mn-03-108269,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0150,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.985083,40.728126
38 UNION SQUARE EAST,mn-05-123155,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0151,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989183,40.736141
571 6 AVENUE,mn-04-122265,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0152,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.996057,40.73864
72 2 AVENUE,mn-03-123260,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0153,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-73.989248,40.726263
75 8 AVENUE,mn-02-123540,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0154,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.002735,40.739677
80 8 AVENUE,mn-04-122299,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0155,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.002305,40.739846
265 WEST 14 STREET,mn-04-123541,Network bookable,LinkNYC,High network presence; availability unconfirmed,Network bookable; unit-level availability unconfirmed,Public location only; availability/pricing/impressions require vendor confirmation.,High,False,False,,7.8,Vendor confirmation required,,LinkNYC digital kiosk / network street furniture,OOH-V4-0156,LinkNYC / Intersection,,Quote/vendor confirmation required,Network awareness near family/transit corridors,2026-06-11,NYC Open Data LinkNYC Kiosk Locations s4kf-3yrf,https://data.cityofnewyork.us/Social-Services/LinkNYC-Kiosk-Locations/s4kf-3yrf,Digital network; exact unit/date requires vendor confirmation,,LinkNYC / Intersection,"Confirm availability, creative specs, dayparting, price, and exact unit booking with vendor.",buffer/unknown,-74.002217,40.739719
