bbl,bin,address_or_label,zipcode,residential_use_type,residential_units,residential_capacity_units,estimated_household_capacity,under5_capacity_signal,under5_capacity_share,preschool_age_capacity_signal,capacity_model_confidence,data_tier,truthfulness_caveat
1004670019,1006831,220 EAST 12 STREET,10003,Residential,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670047,1006839,229 EAST 11 STREET,10003,Mixed-use,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660044,1006820,127 EAST 10 STREET,10003,Residential,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660048,1077990,115 EAST 10 STREET,10003,Residential,56,56,56,3.131,0.0559,3.131,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520037,1006455,163 1 AVENUE,10003,Mixed-use,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660026,1006818,165 2 AVENUE,10003,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520011,1006437,306 EAST 11 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670053,1006845,217 EAST 11 STREET,10003,Residential,2,2,2,0.112,0.056,0.112,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660021,1006814,224 EAST 11 STREET,10003,Residential,26,26,26,1.454,0.0559,1.454,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510056,1006430,311 EAST 9 STREET,10003,Residential,7,7,7,0.391,0.0559,0.391,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650021,1006777,128 EAST 10 STREET,10003,Residential,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650016,1006772,118 EAST 10 STREET,10003,Residential,3,3,3,0.168,0.056,0.168,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660018,1006812,218 EAST 11 STREET,10003,Residential,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520050,1006465,215 EAST 10 STREET,10003,Mixed-use,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670025,1006835,232 EAST 12 STREET,10003,Mixed-use,68,68,68,3.802,0.0559,3.802,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680048,1006876,227 EAST 12 STREET,10003,Residential,16,16,16,0.895,0.0559,0.895,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520053,1006468,209 EAST 10 STREET,10003,Residential,15,15,15,0.839,0.0559,0.839,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660020,1006813,222 EAST 11 STREET,10003,Residential,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520026,1083057,338 EAST 11 STREET,10003,Mixed-use,19,19,19,1.062,0.0559,1.062,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660048,1077988,115 EAST 10 STREET,10003,Residential,56,56,56,3.131,0.0559,3.131,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640027,1006743,234 EAST 9 STREET,10003,Transportation/utility,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680050,1083080,223 EAST 12 STREET,10003,Residential,5,5,5,0.28,0.056,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660014,1006809,210 EAST 11 STREET,10003,Residential,5,5,5,0.28,0.056,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530006,1006474,184 2 AVENUE,10003,Mixed-use,7,7,7,0.391,0.0559,0.391,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520006,1006435,170 2 AVENUE,10003,Mixed-use,76,76,76,4.249,0.0559,4.249,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520015,1006439,314 EAST 11 STREET,10003,Residential,25,25,25,1.398,0.0559,1.398,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540001,1077708,192 2 AVENUE,10003,Mixed-use,21,21,21,1.174,0.0559,1.174,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520027,1006447,340 EAST 11 STREET,10003,Mixed-use,16,16,16,0.895,0.0559,0.895,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650045,1006793,46 STUYVESANT STREET,10003,Residential,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520030,1006449,177 1 AVENUE,10003,Mixed-use,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640031,1089795,236 EAST 9 STREET,10003,Vacant land,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540056,1006503,329 EAST 12 STREET,10003,Residential,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520023,1006444,330 EAST 11 STREET,10003,Mixed-use,19,19,19,1.062,0.0559,1.062,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520044,1006460,225 EAST 10 STREET,10003,Residential,39,39,39,2.181,0.0559,2.181,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520017,1006440,318 EAST 11 STREET,10003,Mixed-use,16,16,16,0.895,0.0559,0.895,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520018,1077685,320 EAST 11 STREET,10003,Mixed-use,35,35,35,1.957,0.0559,1.957,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660048,1077992,115 EAST 10 STREET,10003,Residential,56,56,56,3.131,0.0559,3.131,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520047,1006462,221 EAST 10 STREET,10003,Mixed-use,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640025,1079840,230 EAST 9 STREET,10003,Mixed-use,1,1,1,0.056,0.056,0.056,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520002,1006434,162 2 AVENUE,10003,Mixed-use,159,159,159,8.89,0.0559,8.89,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670055,1006847,213 EAST 11 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650018,1006774,122 EAST 10 STREET,10003,Residential,3,3,3,0.168,0.056,0.168,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540068,1006509,305 EAST 12 STREET,10003,Residential,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670018,1006830,218 EAST 12 STREET,10003,Residential,5,5,5,0.28,0.056,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520033,1006452,171 1 AVENUE,10003,Mixed-use,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650024,1006780,31 STUYVESANT STREET,10003,Residential,2,2,2,0.112,0.056,0.112,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520031,1006450,175 1 AVENUE,10003,Mixed-use,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650023,1006779,33 STUYVESANT STREET,10003,Residential,2,2,2,0.112,0.056,0.112,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520049,1006464,217 EAST 10 STREET,10003,Mixed-use,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670035,1006837,175 2 AVENUE,10003,Mixed-use,56,56,56,3.131,0.0559,3.131,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670017,1006829,216 EAST 12 STREET,10003,Residential,9,9,9,0.503,0.0559,0.503,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510022,1006412,222 EAST 10 STREET,10003,Residential,9,9,9,0.503,0.0559,0.503,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510053,1077699,317 EAST 9 STREET,10003,Mixed-use,15,15,15,0.839,0.0559,0.839,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510018,1006409,214 EAST 10 STREET,10003,Mixed-use,22,22,22,1.23,0.0559,1.23,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660047,1006823,121 EAST 10 STREET,10003,Residential,25,25,25,1.398,0.0559,1.398,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520048,1006463,219 EAST 10 STREET,10003,Mixed-use,21,21,21,1.174,0.0559,1.174,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530011,1082513,304 EAST 12 STREET,10003,Residential,89,89,89,4.976,0.0559,4.976,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650053,1006799,149 2 AVENUE,10003,Mixed-use,5,5,5,0.28,0.056,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640039,1079842,135 2 AVENUE,10003,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530034,1006478,179 1 AVENUE,10003,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540023,1006482,326 EAST 13 STREET,10003,Residential,22,22,22,1.23,0.0559,1.23,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650043,1006791,42 STUYVESANT STREET,10003,Residential,2,2,2,0.112,0.056,0.112,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004550050,1006534,329 EAST 13 STREET,10003,Residential,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520039,1006456,237 EAST 10 STREET,10003,Residential,28,28,28,1.566,0.0559,1.566,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540066,1077710,307 EAST 12 STREET,10003,Residential,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640044,1006750,31 ST MARKS PLACE,10003,Mixed-use,16,16,16,0.895,0.0559,0.895,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670015,1006827,212 EAST 12 STREET,10003,Residential,9,9,9,0.503,0.0559,0.503,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540027,1006484,338 EAST 13 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640034,1006746,141 2 AVENUE,10003,Mixed-use,19,19,19,1.062,0.0559,1.062,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540065,1006508,311 EAST 12 STREET,10003,Residential,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520015,1084904,314 EAST 11 STREET,10003,Residential,25,25,25,1.398,0.0559,1.398,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650058,1006802,231 EAST 9 STREET,10003,Mixed-use,1,1,1,0.056,0.056,0.056,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680036,1006868,203 2 AVENUE,10003,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510024,1006414,226 EAST 10 STREET,10003,Residential,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530005,1006473,182 2 AVENUE,10003,Mixed-use,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670001,1084498,67 3 AVENUE,10003,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650022,1006778,35 STUYVESANT STREET,10003,Residential,2,2,2,0.112,0.056,0.112,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520046,1006461,223 EAST 10 STREET,10003,Mixed-use,21,21,21,1.174,0.0559,1.174,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540063,1006507,315 EAST 12 STREET,10003,Residential,36,36,36,2.013,0.0559,2.013,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660024,1006816,230 EAST 11 STREET,10003,Residential,2,2,2,0.112,0.056,0.112,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650057,1006801,233 EAST 9 STREET,10003,Residential,18,18,18,1.006,0.0559,1.006,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660046,1006822,123 EAST 10 STREET,10003,Residential,1,1,1,0.056,0.056,0.056,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510016,1006407,210 EAST 10 STREET,10003,Residential,11,11,11,0.615,0.0559,0.615,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520001,1006433,160 2 AVENUE,10003,Mixed-use,12,12,12,0.671,0.0559,0.671,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520022,1006443,328 EAST 11 STREET,10003,Mixed-use,14,14,14,0.783,0.0559,0.783,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520024,1006445,332 EAST 11 STREET,10003,Mixed-use,14,14,14,0.783,0.0559,0.783,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650059,1006803,229 EAST 9 STREET,10003,Mixed residential/commercial,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520028,1006448,342 EAST 11 STREET,10003,Mixed-use,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660048,1077989,115 EAST 10 STREET,10003,Residential,56,56,56,3.131,0.0559,3.131,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540004,1006479,198 2 AVENUE,10003,Mixed-use,33,33,33,1.845,0.0559,1.845,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520036,1077702,165 1 AVENUE,10003,Mixed-use,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660016,1006811,214 EAST 11 STREET,10003,Residential,23,23,23,1.286,0.0559,1.286,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660048,1077991,115 EAST 10 STREET,10003,Residential,56,56,56,3.131,0.0559,3.131,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530001,1077705,174 2 AVENUE,10003,Mixed-use,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660045,1006821,125 EAST 10 STREET,10003,Residential,1,1,1,0.056,0.056,0.056,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520032,1006451,173 1 AVENUE,10003,Mixed-use,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510019,1006410,216 EAST 10 STREET,10003,Mixed-use,28,28,28,1.566,0.0559,1.566,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530004,1006472,180 2 AVENUE,10003,Mixed-use,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510001,1077563,146 2 AVENUE,10003,Mixed-use,53,53,53,2.963,0.0559,2.963,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520018,1077700,320 EAST 11 STREET,10003,Mixed-use,35,35,35,1.957,0.0559,1.957,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640132,1006763,238A EAST 9 STREET,10003,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540066,1077711,307 EAST 12 STREET,10003,Residential,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540050,1006501,339 EAST 12 STREET,10003,Residential,37,37,37,2.069,0.0559,2.069,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510001,1077565,146 2 AVENUE,10003,Mixed-use,53,53,53,2.963,0.0559,2.963,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530001,1077706,174 2 AVENUE,10003,Mixed-use,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530010,1006477,302 EAST 12 STREET,10003,Mixed-use,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520035,1006454,167 1 AVENUE,10003,Mixed-use,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540066,1077712,307 EAST 12 STREET,10003,Residential,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670050,1006843,223 EAST 11 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650050,1006798,151 2 AVENUE,10003,Mixed-use,27,27,27,1.51,0.0559,1.51,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650025,1006781,29 STUYVESANT STREET,10003,Residential,1,1,1,0.056,0.056,0.056,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670021,1006833,224 EAST 12 STREET,10003,Mixed-use,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510017,1006408,212 EAST 10 STREET,10003,Mixed-use,9,9,9,0.503,0.0559,0.503,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670056,1006848,211 EAST 11 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510023,1006413,224 EAST 10 STREET,10003,Mixed-use,22,22,22,1.23,0.0559,1.23,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670020,1006832,222 EAST 12 STREET,10003,Residential,18,18,18,1.006,0.0559,1.006,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530008,1006476,188 2 AVENUE,10003,Mixed-use,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680035,1006867,205 2 AVENUE,10003,Residential,19,19,19,1.062,0.0559,1.062,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530003,1006471,178 2 AVENUE,10003,Mixed-use,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660012,1006808,206 EAST 11 STREET,10003,Public facility/institution,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650046,1006794,48 STUYVESANT STREET,10003,Residential,14,14,14,0.783,0.0559,0.783,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540057,1006504,327 EAST 12 STREET,10003,Mixed-use,22,22,22,1.23,0.0559,1.23,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004660015,1006810,212 EAST 11 STREET,10003,Residential,5,5,5,0.28,0.056,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510014,1006405,206 EAST 10 STREET,10003,Residential,26,26,26,1.454,0.0559,1.454,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640033,1006745,240 EAST 9 STREET,10003,Mixed-use,12,12,12,0.671,0.0559,0.671,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680037,1006869,201 2 AVENUE,10003,Mixed-use,8,8,8,0.447,0.0559,0.447,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670022,1006834,226 EAST 12 STREET,10003,Mixed-use,83,83,83,4.641,0.0559,4.641,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670050,1006842,223 EAST 11 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520026,1077701,338 EAST 11 STREET,10003,Mixed-use,19,19,19,1.062,0.0559,1.062,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640037,1079844,137 2 AVENUE,10003,Commercial/office,0,0,0,0,0,0,None,Tier B — Visual building massing / no residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650055,1006800,145 2 AVENUE,10003,Mixed-use,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004530001,1077704,174 2 AVENUE,10003,Mixed-use,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540066,1077709,307 EAST 12 STREET,10003,Residential,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540024,1006483,334 EAST 13 STREET,10003,Mixed-use,34,34,34,1.901,0.0559,1.901,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510001,1077567,146 2 AVENUE,10003,Mixed-use,53,53,53,2.963,0.0559,2.963,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670054,1006846,215 EAST 11 STREET,10003,Residential,1,1,1,0.056,0.056,0.056,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680049,1006877,225 EAST 12 STREET,10003,Residential,9,9,9,0.503,0.0559,0.503,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004520019,1006441,322 EAST 11 STREET,10003,Mixed-use,24,24,24,1.342,0.0559,1.342,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670046,1006838,231 EAST 11 STREET,10003,Residential,5,5,5,0.28,0.056,0.28,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004680039,1006871,197 2 AVENUE,10003,Mixed-use,4,4,4,0.224,0.056,0.224,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004670049,1006841,225 EAST 11 STREET,10003,Residential,7,7,7,0.391,0.0559,0.391,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640036,1006747,139 2 AVENUE,10003,Mixed-use,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510055,1006429,313 EAST 9 STREET,10003,Residential,10,10,10,0.559,0.0559,0.559,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004510021,1006411,220 EAST 10 STREET,10003,Mixed-use,9,9,9,0.503,0.0559,0.503,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004650048,1006796,157 2 AVENUE,10003,Mixed-use,6,6,6,0.335,0.0558,0.335,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004640032,1006744,238 EAST 9 STREET,10003,Mixed-use,13,13,13,0.727,0.0559,0.727,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
1004540029,1006485,340 EAST 13 STREET,10003,Residential,20,20,20,1.118,0.0559,1.118,High,Tier B — Residential capacity,"Building values are modeled residential-capacity signals, not official under-5 counts and not actual children."
